CMDLINE C:\Users\pooja\anaconda3\envs\myenv\python.exe my_script.py
MEM 1.691406 1718545741.0484
MEM 19.687500 1718545741.1498
MEM 28.175781 1718545741.2499
MEM 36.171875 1718545741.3505
MEM 42.105469 1718545741.4506
MEM 47.851562 1718545741.5507
MEM 49.160156 1718545741.6510
MEM 49.687500 1718545741.7513
MEM 50.203125 1718545741.8516
MEM 50.453125 1718545741.9520
MEM 51.050781 1718545742.0523
MEM 51.699219 1718545742.1526
MEM 52.011719 1718545742.2529
MEM 52.246094 1718545742.3533
MEM 52.574219 1718545742.4536
MEM 52.886719 1718545742.5540
MEM 53.136719 1718545742.6543
MEM 53.503906 1718545742.7546
MEM 54.078125 1718545742.8550
MEM 54.367188 1718545742.9553
MEM 54.656250 1718545743.0556
MEM 55.273438 1718545743.1560
MEM 55.941406 1718545743.2563
MEM 56.234375 1718545743.3567
MEM 56.523438 1718545743.4570
MEM 56.816406 1718545743.5574
MEM 57.109375 1718545743.6577
MEM 51.539062 1718545743.7579
